beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.43624,0.488098,2.95885e-08,0.000573848,1.89819e-11,-0.0708626,0.000160152
0.43625,0.488885,1.17194e-08,0.000596759,1.14817e-11,-0.14392,0.000374007
0.43626,0.488908,1.17309e-08,0.000596958,1.15209e-11,-0.144136,0.000376152
0.43627,0.48893,1.17424e-08,0.000597157,1.15604e-11,-0.144353,0.000378311
0.43628,0.488952,1.17539e-08,0.000597355,1.16001e-11,-0.14457,0.000380483
0.43629,0.488975,1.17655e-08,0.000597555,1.164e-11,-0.144788,0.000382669
0.4363,0.488997,1.17771e-08,0.000597754,1.16803e-11,-0.145007,0.00038487
0.43631,0.48902,1.17888e-08,0.000597954,1.17208e-11,-0.145226,0.000387084
0.43632,0.489042,1.18005e-08,0.000598153,1.17615e-11,-0.145445,0.000389312
0.43633,0.489064,1.18122e-08,0.000598353,1.18025e-11,-0.145665,0.000391554
0.43634,0.489087,1.1824e-08,0.000598554,1.18438e-11,-0.145886,0.000393811
0.43635,0.489109,1.18358e-08,0.000598754,1.18853e-11,-0.146107,0.000396082
0.43636,0.489132,1.18477e-08,0.000598955,1.19271e-11,-0.146329,0.000398368
0.43637,0.489154,1.18595e-08,0.000599156,1.19692e-11,-0.146551,0.000400668
0.43638,0.489177,1.18715e-08,0.000599357,1.20115e-11,-0.146774,0.000402982
0.43639,0.489199,1.18834e-08,0.000599558,1.20541e-11,-0.146997,0.000405312
0.4364,0.489222,1.18954e-08,0.00059976,1.2097e-11,-0.147221,0.000407656
0.43641,0.489244,1.19075e-08,0.000599962,1.21402e-11,-0.147445,0.000410015
0.43642,0.489267,1.19196e-08,0.000600164,1.21836e-11,-0.14767,0.000412389
0.43643,0.489289,1.19317e-08,0.000600366,1.22273e-11,-0.147896,0.000414778
0.43644,0.489312,1.19439e-08,0.000600568,1.22713e-11,-0.148122,0.000417182
0.43645,0.489334,1.19561e-08,0.000600771,1.23156e-11,-0.148349,0.000419601
0.43646,0.489357,1.19683e-08,0.000600974,1.23602e-11,-0.148576,0.000422036
0.43647,0.489379,1.19806e-08,0.000601177,1.2405e-11,-0.148804,0.000424486
0.43648,0.489402,1.1993e-08,0.00060138,1.24502e-11,-0.149032,0.000426951
0.43649,0.489424,1.20053e-08,0.000601584,1.24956e-11,-0.149261,0.000429432
0.4365,0.489447,1.20178e-08,0.000601788,1.25414e-11,-0.14949,0.000431928
0.43651,0.48947,1.20302e-08,0.000601992,1.25874e-11,-0.149721,0.000434441
0.43652,0.489492,1.20427e-08,0.000602196,1.26337e-11,-0.149951,0.000436969
0.43653,0.489515,1.20553e-08,0.000602401,1.26804e-11,-0.150182,0.000439513
0.43654,0.489537,1.20679e-08,0.000602605,1.27273e-11,-0.150414,0.000442073
0.43655,0.48956,1.20805e-08,0.00060281,1.27746e-11,-0.150646,0.000444649
0.43656,0.489583,1.20932e-08,0.000603016,1.28221e-11,-0.150879,0.000447241
0.43657,0.489605,1.21059e-08,0.000603221,1.287e-11,-0.151113,0.00044985
0.43658,0.489628,1.21186e-08,0.000603427,1.29181e-11,-0.151347,0.000452475
0.43659,0.48965,1.21314e-08,0.000603633,1.29666e-11,-0.151581,0.000455116
0.4366,0.489673,1.21443e-08,0.000603839,1.30154e-11,-0.151816,0.000457774
0.43661,0.489696,1.21572e-08,0.000604045,1.30646e-11,-0.152052,0.000460448
0.43662,0.489718,1.21701e-08,0.000604252,1.3114e-11,-0.152289,0.000463139
0.43663,0.489741,1.21831e-08,0.000604459,1.31638e-11,-0.152526,0.000465847
0.43664,0.489764,1.21961e-08,0.000604666,1.32139e-11,-0.152763,0.000468572
0.43665,0.489786,1.22092e-08,0.000604873,1.32643e-11,-0.153001,0.000471314
0.43666,0.489809,1.22223e-08,0.00060508,1.33151e-11,-0.15324,0.000474073
0.43667,0.489832,1.22354e-08,0.000605288,1.33662e-11,-0.153479,0.000476849
0.43668,0.489854,1.22486e-08,0.000605496,1.34176e-11,-0.153719,0.000479642
0.43669,0.489877,1.22619e-08,0.000605704,1.34694e-11,-0.153959,0.000482453
0.4367,0.4899,1.22752e-08,0.000605913,1.35215e-11,-0.154201,0.000485281
0.43671,0.489923,1.22885e-08,0.000606122,1.35739e-11,-0.154442,0.000488126
0.43672,0.489945,1.23019e-08,0.000606331,1.36267e-11,-0.154684,0.00049099
0.43673,0.489968,1.23153e-08,0.00060654,1.36799e-11,-0.154927,0.00049387
0.43674,0.489991,1.23288e-08,0.000606749,1.37334e-11,-0.155171,0.000496769
0.43675,0.489976,2.01459e-08,0.000593441,2.31837e-11,-0.0949717,0.000101259
0.43676,0.489998,2.01659e-08,0.00059362,2.32324e-11,-0.0950286,0.000101616
0.43677,0.49002,2.0186e-08,0.0005938,2.32814e-11,-0.0950855,0.000101973
0.43678,0.490042,2.02062e-08,0.00059398,2.33305e-11,-0.0951425,0.000102332
0.43679,0.490065,2.02264e-08,0.00059416,2.33798e-11,-0.0951996,0.000102692
0.4368,0.490087,2.02467e-08,0.00059434,2.34294e-11,-0.0952567,0.000103053
0.43681,0.490109,2.02671e-08,0.000594521,2.34791e-11,-0.0953138,0.000103416
0.43682,0.490132,2.02875e-08,0.000594701,2.35291e-11,-0.095371,0.00010378
0.43683,0.490154,2.0308e-08,0.000594882,2.35792e-11,-0.0954283,0.000104146
0.43684,0.490176,2.03286e-08,0.000595063,2.36296e-11,-0.0954857,0.000104513
0.43685,0.490199,2.03492e-08,0.000595244,2.36802e-11,-0.095543,0.000104881
0.43686,0.490221,2.03699e-08,0.000595425,2.3731e-11,-0.0956005,0.000105251
0.43687,0.490243,2.03906e-08,0.000595606,2.3782e-11,-0.095658,0.000105622
0.43688,0.490266,2.04114e-08,0.000595787,2.38333e-11,-0.0957156,0.000105994
0.43689,0.490288,2.04323e-08,0.000595969,2.38847e-11,-0.0957732,0.000106368
0.4369,0.49031,2.04533e-08,0.000596151,2.39364e-11,-0.0958309,0.000106743
0.43691,0.490333,2.04743e-08,0.000596332,2.39882e-11,-0.0958886,0.00010712
0.43692,0.490355,2.04953e-08,0.000596514,2.40403e-11,-0.0959464,0.000107498
0.43693,0.490377,2.05165e-08,0.000596697,2.40927e-11,-0.0960042,0.000107877
0.43694,0.4904,2.05377e-08,0.000596879,2.41452e-11,-0.0960621,0.000108257
0.43695,0.490422,2.05589e-08,0.000597061,2.41979e-11,-0.0961201,0.000108639
0.43696,0.490444,2.05803e-08,0.000597244,2.42509e-11,-0.0961781,0.000109023
0.43697,0.490467,2.06017e-08,0.000597426,2.43041e-11,-0.0962361,0.000109408
0.43698,0.490489,2.06231e-08,0.000597609,2.43575e-11,-0.0962943,0.000109794
0.43699,0.490512,2.06447e-08,0.000597792,2.44112e-11,-0.0963524,0.000110182
0.437,0.490534,2.06663e-08,0.000597975,2.44651e-11,-0.0964107,0.000110571
0.43701,0.490557,2.06879e-08,0.000598159,2.45192e-11,-0.096469,0.000110961
0.43702,0.490579,2.07097e-08,0.000598342,2.45735e-11,-0.0965273,0.000111353
