beta,avg_plaq,plaq_var,avg_sus,sus_var
0.43491,0.771425,6.02426e-06,0.0379816,1.19186e-07
0.43492,0.771609,6.01661e-06,0.0379572,1.19531e-07
0.43493,0.771794,6.00896e-06,0.0379329,1.19875e-07
0.43494,0.771978,6.00129e-06,0.0379085,1.20218e-07
0.43495,0.772162,5.99362e-06,0.0378841,1.2056e-07
0.43496,0.772346,5.98594e-06,0.0378596,1.20902e-07
0.43497,0.77253,5.97826e-06,0.0378351,1.21243e-07
0.43498,0.772714,5.97057e-06,0.0378106,1.21583e-07
0.43499,0.772898,5.96287e-06,0.037786,1.21923e-07
0.435,0.759091,0.00015159,0.0395342,2.38032e-06
0.43501,0.759283,0.000151455,0.039513,2.39059e-06
0.43502,0.759475,0.000151319,0.0394917,2.40087e-06
0.43503,0.759667,0.000151183,0.0394705,2.41115e-06
0.43504,0.759859,0.000151048,0.0394491,2.42144e-06
0.43505,0.760051,0.000150912,0.0394278,2.43172e-06
0.43506,0.760242,0.000150776,0.0394063,2.44201e-06
0.43507,0.760434,0.00015064,0.0393849,2.4523e-06
0.43508,0.760625,0.000150504,0.0393633,2.4626e-06
0.43509,0.760816,0.000150367,0.0393418,2.47289e-06
0.4351,0.761008,0.000150231,0.0393202,2.48319e-06
0.43511,0.761199,0.000150095,0.0392985,2.49349e-06
0.43512,0.76139,0.000149958,0.0392768,2.50379e-06
0.43513,0.76158,0.000149822,0.0392551,2.51409e-06
0.43514,0.761771,0.000149685,0.0392333,2.52439e-06
0.43515,0.761962,0.000149548,0.0392114,2.53469e-06
0.43516,0.762152,0.000149411,0.0391895,2.545e-06
0.43517,0.762343,0.000149274,0.0391676,2.5553e-06
0.43518,0.762533,0.000149137,0.0391456,2.56561e-06
0.43519,0.762723,0.000149,0.0391236,2.57591e-06
0.4352,0.762913,0.000148863,0.0391016,2.58622e-06
0.43521,0.763103,0.000148726,0.0390795,2.59652e-06
0.43522,0.763293,0.000148589,0.0390573,2.60683e-06
0.43523,0.763483,0.000148451,0.0390351,2.61713e-06
0.43524,0.763672,0.000148314,0.0390129,2.62743e-06
0.43525,0.763862,0.000148176,0.0389906,2.63774e-06
0.43526,0.764051,0.000148038,0.0389682,2.64804e-06
0.43527,0.764241,0.0001479,0.0389459,2.65834e-06
0.43528,0.76443,0.000147763,0.0389235,2.66864e-06
0.43529,0.764619,0.000147625,0.038901,2.67894e-06
0.4353,0.764808,0.000147487,0.0388785,2.68923e-06
0.43531,0.764997,0.000147349,0.0388559,2.69953e-06
0.43532,0.765186,0.00014721,0.0388334,2.70982e-06
0.43533,0.765374,0.000147072,0.0388107,2.72011e-06
0.43534,0.765563,0.000146934,0.0387881,2.7304e-06
0.43535,0.765752,0.000146795,0.0387653,2.74069e-06
0.43536,0.76594,0.000146657,0.0387426,2.75097e-06
0.43537,0.766128,0.000146518,0.0387198,2.76126e-06
0.43538,0.766316,0.000146379,0.0386969,2.77154e-06
0.43539,0.766504,0.000146241,0.038674,2.78181e-06
0.4354,0.766692,0.000146102,0.0386511,2.79208e-06
0.43541,0.76688,0.000145963,0.0386281,2.80235e-06
0.43542,0.767068,0.000145824,0.0386051,2.81262e-06
0.43543,0.767255,0.000145685,0.0385821,2.82288e-06
0.43544,0.767443,0.000145546,0.038559,2.83314e-06
0.43545,0.76763,0.000145407,0.0385358,2.8434e-06
0.43546,0.767817,0.000145267,0.0385127,2.85365e-06
0.43547,0.768004,0.000145128,0.0384894,2.86389e-06
0.43548,0.768191,0.000144989,0.0384662,2.87414e-06
0.43549,0.768378,0.000144849,0.0384429,2.88437e-06
0.4355,0.768565,0.000144709,0.0384195,2.89461e-06
0.43551,0.768752,0.00014457,0.0383961,2.90484e-06
0.43552,0.768938,0.00014443,0.0383727,2.91506e-06
0.43553,0.769125,0.00014429,0.0383493,2.92528e-06
0.43554,0.769311,0.00014415,0.0383258,2.93549e-06
0.43555,0.769497,0.00014401,0.0383022,2.9457e-06
0.43556,0.769683,0.00014387,0.0382786,2.9559e-06
0.43557,0.769869,0.00014373,0.038255,2.9661e-06
0.43558,0.770055,0.00014359,0.0382313,2.97629e-06
0.43559,0.770241,0.00014345,0.0382076,2.98647e-06
0.4356,0.770426,0.00014331,0.0381839,2.99665e-06
